Номер;;Статус;чтото;;Начисления;"Исходящие местные и переадре-
сация";;Исходящие МГ/МН;;SMS и MMS;GPRS и WAP;;Контент и голосовые услуги;Услуги в роуминге;;Квота;"Свобод-
ных сред-
ств по квоте";Фильтр;;еще;
79016252915;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252923;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252932;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252934;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252937;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252938;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252942;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252943;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Стр. 4;;
;;;;;;;;;;;;;;;;;;;;;
79016252944;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252946;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252947;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252949;;Активен;M2M единый 10_2022;;11,71;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252951;;Активен;M2M единый 10_2022;;2,66;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252952;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252953;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252955;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252963;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252964;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252965;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252966;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252968;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252969;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252970;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016252971;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016253097;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016253192;;Активен;M2M единый 10_2022;;58,58;0;;0;;0;42,08;;0;0;;150;107,92;Без ограничений;;0;
79016253193;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016253196;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016253202;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016253211;;Активен;M2M единый 10_2022;;18,78;0;;0;;0;2,28;;0;0;;150;147,72;Без ограничений;;0;
79016253707;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016255133;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Стр. 5;;
;;;;;;;;;;;;;;;;;;;;;
79016255150;;Активен;M2M единый 10_2022;;43,74;0;;0;;0;28,89;;0;0;;150;121,11;Без ограничений;;0;
79016256702;;Активен;M2M единый 10_2022;;23,78;0;;0;;0;8,93;;0;0;;150;141,07;Без ограничений;;0;
79016257442;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016257830;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016257990;;Активен;M2M единый 10_2022;;38,76;0;;0;;0;22,26;;0;0;;150;127,74;Без ограничений;;0;
79016258070;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016461260;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016461480;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79016467079;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029117289;;Активен;M2M единый 10_2022;;66,02;0;;0;;0;51,17;;0;0;;150;98,83;Без ограничений;;0;
79029117652;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029117815;;Активен;M2M единый 10_2022;;16,72;0;;0;;0;1,87;;0;0;;150;148,13;Без ограничений;;0;
79029117905;;Активен;M2M единый 10_2022;;48,61;0;;0;;0;33,76;;0;0;;150;116,24;Без ограничений;;0;
79029134262;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029135337;;Активен;M2M единый 10_2022;;25,16;0;;0;;0;10,31;;0;0;;150;139,69;Без ограничений;;0;
79029135485;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029135658;;Приостановлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029135770;;Активен;M2M единый 10_2022;;28,25;0;;0;;0;13,4;;0;0;;150;136,6;Без ограничений;;0;
79029135786;;Активен;M2M единый 10_2022;;23,32;0;;0;;0;8,47;;0;0;;150;141,53;Без ограничений;;0;
79029135814;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029136476;;Активен;M2M единый 10_2022;;16,5;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029145560;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029145613;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029145748;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Стр. 6;;
;;;;;;;;;;;;;;;;;;;;;
79029164018;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164024;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164064;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164095;;Активен;M2M единый 10_2022;;25,86;0;;0;;0;11,01;;0;0;;150;138,99;Без ограничений;;0;
79029164114;;Активен;M2M единый 10_2022;;26,29;0;;0;;0;11,44;;0;0;;150;138,56;Без ограничений;;0;
79029164301;;Активен;M2M единый 10_2022;;43,87;0;;0;;0;29,02;;0;0;;150;120,98;Без ограничений;;0;
79029164437;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164448;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164464;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164471;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164531;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164535;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164537;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164577;;Приостановлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164605;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164611;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164643;;Блокирован;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029164673;;Приостановлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029165218;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029165984;;Приостановлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029171345;;Активен;M2M единый 10_2022;;42,32;0;;0;;0;25,82;;0;0;;150;124,18;Без ограничений;;0;
79029173208;;Активен;M2M единый 10_2022;;16,31;0;;0;;0;1,46;;0;0;;150;148,54;Без ограничений;;0;
79029174714;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029188079;;Активен;M2M единый 10_2022;;16,89;0;;0;;0;2,04;;0;0;;150;147,96;Без ограничений;;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Стр. 7;;
;;;;;;;;;;;;;;;;;;;;;
79029188564;;Активен;M2M единый 10_2022;;38,02;0;;0;;0;23,17;;0;0;;150;126,83;Без ограничений;;0;
79029188944;;Активен;M2M единый 10_2022;;32,97;0;;0;;0;18,12;;0;0;;150;131,88;Без ограничений;;0;
79029191028;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029191162;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029191206;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029191293;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029191422;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029191447;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029191467;;Активен;M2M единый 10_2022;;15,62;0;;0;;0;0,77;;0;0;;150;149,23;Без ограничений;;0;
79029191806;;Активен;M2M единый 10_2022;;28,48;0;;0;;0;13,63;;0;0;;150;136,37;Без ограничений;;0;
79029192162;;Активен;M2M единый 10_2022;;31,12;0;;0;;0;16,27;;0;0;;150;133,73;Без ограничений;;0;
79029192381;;Приостановлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029192811;;Активен;M2M единый 10_2022;;22,08;0;;0;;0;7,23;;0;0;;150;142,77;Без ограничений;;0;
79029192983;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029193156;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029193768;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029194524;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029194701;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029194978;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029195153;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029195191;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029195553;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029195765;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029195827;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Стр. 8;;
;;;;;;;;;;;;;;;;;;;;;
79029195977;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029196188;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029196208;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029196507;;Активен;M2M единый 10_2022;;23,13;0;;0;;0;8,28;;0;0;;150;141,72;Без ограничений;;0;
79029196990;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029197038;;Активен;M2M единый 10_2022;;19,62;0;;0;;0;4,77;;0;0;;150;145,23;Без ограничений;;0;
79029197049;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029197569;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029198112;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029198206;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029198287;;Активен;M2M единый 10_2022;;43,55;0;;0;;0;28,7;;0;0;;150;121,3;Без ограничений;;0;
79029198810;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029199274;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029199291;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029199301;;Активен;M2M единый 10_2022;;31,98;0;;0;;0;17,13;;0;0;;150;132,87;Без ограничений;;0;
79029199463;;Активен;M2M единый 10_2022;;40,11;0;;0;;0;25,26;;0;0;;150;124,74;Без ограничений;;0;
79029199529;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029199952;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029200469;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029200621;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029200881;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029200958;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029201258;;Активен;M2M единый 10_2022;;16,29;0;;0;;0;1,44;;0;0;;150;148,56;Без ограничений;;0;
79029201276;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Стр. 9;;
;;;;;;;;;;;;;;;;;;;;;
79029201456;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029201505;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029201686;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029202259;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029202394;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029202826;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029202836;;Активен;M2M единый 10_2022;;16,03;0;;0;;0;1,18;;0;0;;150;148,82;Без ограничений;;0;
79029203354;;Активен;M2M единый 10_2022;;21,44;0;;0;;0;6,59;;0;0;;150;143,41;Без ограничений;;0;
79029203361;;Активен;M2M единый 10_2022;;1,06;0;;0;;0;0;;0;0;;0;0; ;;0;
79029203937;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029204173;;Активен;M2M единый 10_2022;;14,85;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029205069;;Активен;M2M единый 10_2022;;4,79;0;;0;;0;0;;0;0;;0;0; ;;0;
79029205201;;Активен;M2M единый 10_2022;;5,85;0;;0;;0;0;;0;0;;0;0; ;;0;
79029205372;;Активен;M2M единый 10_2022;;5,32;0;;0;;0;0;;0;0;;0;0; ;;0;
79029205456;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029206027;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029206665;;Активен;M2M единый 10_2022;;39,25;0;;0;;0;22,75;;0;0;;150;127,25;Без ограничений;;0;
79029207326;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
79029207923;;Блокирован;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;150;150;Без ограничений;;0;
79029208062;;Подготовлен;M2M единый 10_2022;;0;0;;0;;0;0;;0;0;;0;0; ;;0;
